Esophagus - Muscularis,Pituitary
Colon - Sigmoid,Muscle - Skeletal
Esophagus - Muscularis,Brain - Amygdala
Esophagus - Mucosa,Skin - Sun Exposed (Lower leg)
Muscle - Skeletal,Artery - Tibial
Heart - Left Ventricle,Esophagus - Mucosa
Skin - Not Sun Exposed (Suprapubic),Brain - Spinal cord (cervical c-1)
Adipose - Subcutaneous,Stomach
Thyroid,Brain - Caudate (basal ganglia)
Liver,Artery - Aorta
Breast - Mammary Tissue,Artery - Coronary
Brain - Frontal Cortex (BA9),Brain - Spinal cord (cervical c-1)
Artery - Tibial,Cells - Transformed fibroblasts
Whole Blood,Ovary
Heart - Atrial Appendage,Esophagus - Muscularis
Esophagus - Muscularis,Minor Salivary Gland
Ovary,Cells - EBV-transformed lymphocytes
Adrenal Gland,Cells - Transformed fibroblasts
Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia)
Colon - Sigmoid,Pancreas
Heart - Left Ventricle,Brain - Frontal Cortex (BA9)
Muscle - Skeletal,Breast - Mammary Tissue
Small Intestine - Terminal Ileum,Prostate
Testis,Brain - Hippocampus
Spleen,Adrenal Gland
Esophagus - Muscularis,Spleen
Heart - Left Ventricle,Brain - Cortex
Brain - Putamen (basal ganglia),Brain - Caudate (basal ganglia)
Thyroid,Brain - Cerebellar Hemisphere
Lung,Breast - Mammary Tissue
Thyroid,Skin - Not Sun Exposed (Suprapubic)
Heart - Atrial Appendage,Small Intestine - Terminal Ileum
Skin - Not Sun Exposed (Suprapubic),Brain - Substantia nigra
Brain - Cerebellum,Minor Salivary Gland
Adipose - Subcutaneous,Esophagus - Muscularis
Brain - Anterior cingulate cortex (BA24),Muscle - Skeletal
Artery - Aorta,Brain - Cerebellum
Lung,Prostate
Nerve - Tibial,Colon - Transverse
Testis,Liver
Esophagus - Gastroesophageal Junction,Brain - Substantia nigra
Whole Blood,Skin - Not Sun Exposed (Suprapubic)
Brain - Anterior cingulate cortex (BA24),Artery - Aorta
Brain - Hippocampus,Adipose - Visceral (Omentum)
Brain - Cerebellar Hemisphere,Skin - Sun Exposed (Lower leg)
Liver,Adrenal Gland
Brain - Amygdala,Brain - Anterior cingulate cortex (BA24)
Brain - Hypothalamus,Lung
Brain - Putamen (basal ganglia),Whole Blood
Brain - Anterior cingulate cortex (BA24),Esophagus - Gastroesophageal Junction
Esophagus - Gastroesophageal Junction,Pituitary
Skin - Not Sun Exposed (Suprapubic),Breast - Mammary Tissue
Heart - Atrial Appendage,Brain - Putamen (basal ganglia)
Nerve - Tibial,Breast - Mammary Tissue
Cells - Transformed fibroblasts,Heart - Left Ventricle
Heart - Atrial Appendage,Brain - Amygdala
Muscle - Skeletal,Adipose - Visceral (Omentum)
Minor Salivary Gland,Colon - Sigmoid
Skin - Not Sun Exposed (Suprapubic),Prostate
Minor Salivary Gland,Cells - EBV-transformed lymphocytes
Liver,Ovary
Minor Salivary Gland,Adrenal Gland
Brain - Putamen (basal ganglia),Prostate
Colon - Sigmoid,Artery - Tibial
Small Intestine - Terminal Ileum,Uterus
Pancreas,Breast - Mammary Tissue
Breast - Mammary Tissue,Spleen
Liver,Muscle - Skeletal
Artery - Aorta,Liver
Colon - Sigmoid,Skin - Not Sun Exposed (Suprapubic)
Skin - Not Sun Exposed (Suprapubic),Nerve - Tibial
Brain - Caudate (basal ganglia),Muscle - Skeletal
Vagina,Artery - Tibial
Pancreas,Colon - Sigmoid
Liver,Brain - Frontal Cortex (BA9)
Spleen,Lung
Breast - Mammary Tissue,Adipose - Visceral (Omentum)
Skin - Not Sun Exposed (Suprapubic),Brain - Cerebellar Hemisphere
Brain - Cerebellum,Brain - Anterior cingulate cortex (BA24)
Esophagus - Muscularis,Brain - Hippocampus
Brain - Putamen (basal ganglia),Brain - Frontal Cortex (BA9)
Thyroid,Stomach
Vagina,Breast - Mammary Tissue
Testis,Brain - Anterior cingulate cortex (BA24)
Colon - Transverse,Esophagus - Muscularis
Thyroid,Pituitary
Brain - Hypothalamus,Minor Salivary Gland
Esophagus - Muscularis,Small Intestine - Terminal Ileum
Brain - Frontal Cortex (BA9),Skin - Not Sun Exposed (Suprapubic)
Brain - Anterior cingulate cortex (BA24),Artery - Tibial
Brain - Amygdala,Skin - Sun Exposed (Lower leg)
Stomach,Esophagus - Mucosa
Brain - Putamen (basal ganglia),Esophagus - Mucosa
Colon - Sigmoid,Colon - Transverse
Brain - Spinal cord (cervical c-1),Cells - Transformed fibroblasts
Thyroid,Brain - Frontal Cortex (BA9)
Liver,Brain - Hippocampus
Vagina,Small Intestine - Terminal Ileum
Brain - Putamen (basal ganglia),Pituitary
Brain - Caudate (basal ganglia),Lung
Minor Salivary Gland,Heart - Left Ventricle
Heart - Left Ventricle,Kidney - Cortex
Brain - Hippocampus,Brain - Hypothalamus
Brain - Cerebellum,Whole Blood
Brain - Frontal Cortex (BA9),Lung
Colon - Transverse,Uterus
Heart - Atrial Appendage,Prostate
Testis,Stomach
Vagina,Spleen
Artery - Aorta,Brain - Frontal Cortex (BA9)
Adipose - Subcutaneous,Brain - Spinal cord (cervical c-1)
Prostate,Spleen
Nerve - Tibial,Pancreas
Minor Salivary Gland,Small Intestine - Terminal Ileum
Uterus,Esophagus - Muscularis
Pituitary,Artery - Tibial
Pituitary,Liver
Cells - Transformed fibroblasts,Heart - Atrial Appendage
Artery - Tibial,Minor Salivary Gland
Muscle - Skeletal,Skin - Sun Exposed (Lower leg)
Adipose - Visceral (Omentum),Liver
Nerve - Tibial,Whole Blood
Brain - Hypothalamus,Cells - Transformed fibroblasts
Brain - Putamen (basal ganglia),Colon - Sigmoid
Heart - Left Ventricle,Breast - Mammary Tissue
Stomach,Colon - Sigmoid
Small Intestine - Terminal Ileum,Cells - Transformed fibroblasts
Colon - Transverse,Esophagus - Mucosa
Artery - Tibial,Pituitary
Esophagus - Muscularis,Heart - Left Ventricle
Artery - Coronary,Prostate
Artery - Coronary,Artery - Aorta
Brain - Spinal cord (cervical c-1),Colon - Sigmoid
Lung,Ovary
Thyroid,Spleen
Liver,Uterus
Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum
Lung,Whole Blood
Brain - Anterior cingulate cortex (BA24),Prostate
Muscle - Skeletal,Brain - Hypothalamus
Skin - Not Sun Exposed (Suprapubic),Brain - Amygdala
Skin - Not Sun Exposed (Suprapubic),Brain - Hypothalamus
Adipose - Subcutaneous,Breast - Mammary Tissue
Brain - Putamen (basal ganglia),Brain - Cerebellum
Uterus,Artery - Tibial
Adipose - Subcutaneous,Prostate
Nerve - Tibial,Ovary
Adipose - Visceral (Omentum),Breast - Mammary Tissue
Uterus,Pancreas
Uterus,Lung
Esophagus - Muscularis,Uterus
Uterus,Minor Salivary Gland
Thyroid,Vagina
Whole Blood,Brain - Hypothalamus
Adipose - Subcutaneous,Colon - Transverse
Testis,Brain - Caudate (basal ganglia)
Artery - Tibial,Colon - Sigmoid
Artery - Coronary,Brain - Substantia nigra
Thyroid,Brain - Cerebellum
Brain - Frontal Cortex (BA9),Brain - Substantia nigra
Skin - Not Sun Exposed (Suprapubic),Heart - Atrial Appendage
Breast - Mammary Tissue,Whole Blood
Brain - Caudate (basal ganglia),Cells - Transformed fibroblasts
Artery - Tibial,Artery - Aorta
Brain - Putamen (basal ganglia),Liver
Heart - Atrial Appendage,Adipose - Subcutaneous
Adipose - Visceral (Omentum),Colon - Sigmoid
Esophagus - Muscularis,Esophagus - Gastroesophageal Junction
Brain - Nucleus accumbens (basal ganglia),Artery - Tibial
Lung,Artery - Coronary
Vagina,Ovary
Esophagus - Muscularis,Brain - Nucleus accumbens (basal ganglia)
Whole Blood,Brain - Cerebellum
Colon - Transverse,Artery - Coronary
Adipose - Visceral (Omentum),Adipose - Subcutaneous
Esophagus - Mucosa,Artery - Tibial
Adrenal Gland,Artery - Aorta
Brain - Spinal cord (cervical c-1),Adipose - Subcutaneous
Kidney - Cortex,Adrenal Gland
Brain - Cerebellar Hemisphere,Brain - Substantia nigra
Testis,Skin - Sun Exposed (Lower leg)
Thyroid,Liver
Small Intestine - Terminal Ileum,Esophagus - Mucosa
Thyroid,Cells - EBV-transformed lymphocytes
Brain - Spinal cord (cervical c-1),Brain - Nucleus accumbens (basal ganglia)
Artery - Tibial,Pancreas
Thyroid,Colon - Sigmoid
Brain - Cerebellum,Adipose - Visceral (Omentum)
Esophagus - Muscularis,Brain - Spinal cord (cervical c-1)
Artery - Tibial,Brain - Caudate (basal ganglia)
Adipose - Subcutaneous,Brain - Substantia nigra
Esophagus - Mucosa,Brain - Hypothalamus
Colon - Transverse,Adrenal Gland
Adipose - Subcutaneous,Vagina
Artery - Coronary,Nerve - Tibial
Adipose - Subcutaneous,Skin - Sun Exposed (Lower leg)
Brain - Frontal Cortex (BA9),Nerve - Tibial
Brain - Cerebellum,Testis
Brain - Cerebellum,Esophagus - Mucosa
Brain - Amygdala,Whole Blood
Thyroid,Esophagus - Muscularis
Kidney - Cortex,Muscle - Skeletal
Breast - Mammary Tissue,Esophagus - Mucosa
Brain - Hypothalamus,Artery - Aorta
Small Intestine - Terminal Ileum,Heart - Left Ventricle
Artery - Aorta,Brain - Substantia nigra
Whole Blood,Brain - Putamen (basal ganglia)
Kidney - Cortex,Colon - Sigmoid
Brain - Caudate (basal ganglia),Adipose - Visceral (Omentum)
Thyroid,Brain - Hypothalamus
Brain - Amygdala,Brain - Putamen (basal ganglia)
Adipose - Subcutaneous,Heart - Left Ventricle
Stomach,Breast - Mammary Tissue
Artery - Coronary,Colon - Transverse
Brain - Frontal Cortex (BA9),Brain - Hippocampus
Small Intestine - Terminal Ileum,Nerve - Tibial
Adipose - Subcutaneous,Heart - Atrial Appendage
Stomach,Pituitary
Esophagus - Mucosa,Cells - EBV-transformed lymphocytes
Brain - Cortex,Brain - Anterior cingulate cortex (BA24)
Adipose - Subcutaneous,Brain - Caudate (basal ganglia)
Uterus,Cells - Transformed fibroblasts
Testis,Pituitary
Pancreas,Nerve - Tibial
Whole Blood,Small Intestine - Terminal Ileum
Artery - Aorta,Colon - Sigmoid
Muscle - Skeletal,Minor Salivary Gland
Ovary,Nerve - Tibial
Pituitary,Heart - Left Ventricle
Muscle - Skeletal,Uterus
Liver,Skin - Sun Exposed (Lower leg)
Brain - Hippocampus,Pituitary
Skin - Not Sun Exposed (Suprapubic),Brain - Cortex
Ovary,Artery - Aorta
Muscle - Skeletal,Pituitary
Skin - Sun Exposed (Lower leg),Vagina
Whole Blood,Esophagus - Mucosa
Colon - Transverse,Heart - Left Ventricle
Esophagus - Muscularis,Artery - Tibial
Colon - Sigmoid,Ovary
Skin - Sun Exposed (Lower leg),Brain - Caudate (basal ganglia)
Cells - Transformed fibroblasts,Brain - Anterior cingulate cortex (BA24)
Esophagus - Muscularis,Stomach
Brain - Nucleus accumbens (basal ganglia),Cells - Transformed fibroblasts
Esophagus - Mucosa,Prostate
Artery - Aorta,Nerve - Tibial
Heart - Left Ventricle,Ovary
Heart - Atrial Appendage,Artery - Coronary
Ovary,Colon - Sigmoid
Esophagus - Gastroesophageal Junction,Brain - Hypothalamus
Cells - Transformed fibroblasts,Small Intestine - Terminal Ileum
Esophagus - Muscularis,Skin - Sun Exposed (Lower leg)
Adipose - Subcutaneous,Artery - Aorta
Whole Blood,Brain - Frontal Cortex (BA9)
Brain - Frontal Cortex (BA9),Brain - Nucleus accumbens (basal ganglia)
Prostate,Colon - Transverse
Brain - Nucleus accumbens (basal ganglia),Brain - Substantia nigra
Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia)
Heart - Left Ventricle,Cells - EBV-transformed lymphocytes
Colon - Transverse,Pancreas
Stomach,Cells - EBV-transformed lymphocytes
Adipose - Subcutaneous,Colon - Sigmoid
Artery - Tibial,Colon - Transverse
Brain - Caudate (basal ganglia),Adipose - Subcutaneous
Adipose - Subcutaneous,Liver
Thyroid,Skin - Sun Exposed (Lower leg)
Prostate,Brain - Cortex
Spleen,Minor Salivary Gland
Pituitary,Colon - Sigmoid
Stomach,Artery - Aorta
Artery - Aorta,Adipose - Subcutaneous
